prompt_length,file_size_bytes
509,18231888
571,5550788
546,11282313
553,6727444
275,20744467
492,10221285
304,30682936
585,12040687
489,5678258
398,14114528
345,6491370
590,10034021
495,6782989
312,6918157
779,31279729
480,7565528
576,6030376
355,8922626
450,11785219
499,99223884
516,7484009
367,12285892
522,5003687
309,28211087
603,320584593
692,8108881
658,26694983
650,187710132
323,32398465
414,12547254
422,8563842
987,15580484
350,231884905
421,9813885
456,7953268
640,344638744
407,7936055
388,7621771
370,8191484
381,9100638
880,14738664
317,8076314
468,29319481
637,9385777
501,30050094
400,6565032
390,14357227
1506,16304074
506,19695287
573,8966084
480,20361540
937,5102637
309,10171977
359,311612757
455,31140563
360,133071718
447,5958901
925,7496159
379,12688425
383,21522919
479,81674536
420,22731012
483,16518439
525,14647806
435,5548039
443,8976830
874,5425580
389,109028556
463,23026238
574,65651639
456,7525143
448,12754071
602,8451922
547,4425498
364,33461195
641,11674150
387,7542525
508,6109588
405,26595381
493,9370400
321,45112421
1084,13099339
660,33118278
388,8492445
357,32568853
341,49495300
400,8587781
335,14951056
474,7478645
537,31471651
696,19553621
484,6031795
380,132654018
390,12593580
501,6100296
452,12038432
509,13602758
745,49960387
524,27551151
548,517988185
388,17387167
343,19074131
598,36083764
832,6154102
340,7073867
273,66847309
396,5139581
413,12013114
734,45003271
662,10596354
464,14837751
455,10117593
436,17929797
351,16839580
379,6144991
407,69776588
993,8851311
593,19046225
353,60710920
573,8984238
194,45724130
555,7611870
721,37646346
475,41248564
284,16074075
267,610142921
537,114317250
601,8895070
405,7854319
619,11461385
475,183402849
430,6864853
466,31473509
391,12272727
1119,27659925
291,34200708
475,54585112
654,11313869
624,5783451
455,7287806
641,5640101
357,7094846
650,5568636
585,12254740
320,13862732
346,13689176
349,241808247
341,7147230
562,26695443
468,5817359
502,5974140
450,24076073
415,17836523
626,7319200
480,6375008
401,128838886
291,47768288
373,64325242
377,20183655
389,26936782
537,10036654
444,10597877
426,12647141
623,9214401
604,7656621
978,11122662
566,104541313
548,21989368
325,8534250
611,16486829
724,9450031
755,13000855
677,44484476
574,7803558
423,9322574
620,12847030
362,77757344
370,17212502
767,5569863
776,5326455
376,74704459
350,8037073
779,68914271
342,9033731
399,63184088
969,19684971
500,4182156
387,59384450
304,3905562
703,28637969
332,27950308
449,7668252
371,95558808
609,73148259
599,31732018
867,23271267
438,38604326
259,19023984
728,24792643
367,49860586
451,21381409
487,13929063
558,31519053
443,10366116
449,8056664
452,16114049
652,41060686
665,446730138
472,5669548
584,13758834
545,10852652
484,44082337
492,7520994
281,6433006
674,12832795
453,86139288
482,15999787
302,9414125
730,11152911
790,7086450
266,5245937
232,156499799
390,10473444
520,15716327
377,8571952
465,100145544
827,19257296
416,18694263
477,58652524
402,17321403
342,57723889
371,39222097
764,13257536
301,8683733
746,9682118
400,41862975
420,7246396
556,9787479
479,6616941
761,17343379
363,12698242
376,5312781
525,13070926
590,6340479
958,8242353
315,12458858
596,98299440
576,9108498
372,6793366
301,16085311
325,12947646
646,79374041
580,124656992
565,18270132
319,11499185
485,13730017
771,56259685
449,118888319
331,19666405
286,5231033
399,10376505
609,7964816
403,6684104
336,7904708
498,6730766
592,45344699
456,50364092
504,9242371
335,9682875
276,9544597
698,12196261
274,4185794
453,87518329
580,155030781
458,9802177
486,47969232
215,8219519
376,7724302
319,11240477
298,9689106
821,32133212
270,32493144
336,8133033
486,9503625
369,29078961
453,6789747
331,5832665
719,10755722
762,12894456
441,96158516
408,88051252
414,10008055
466,16401951
387,4520508
520,20918325
426,19492447
656,7735612
291,8946899
331,43803722
322,111424826
548,17912923
367,24154676
379,11237238
292,39106710
561,33585991
535,20142718
473,4953791
222,74443741
599,39258303
855,18285365
703,5501339
594,198249088
533,200451930
373,28374080
220,69107795
284,5103044
346,34655815
418,13403810
724,11448502
312,11108175
266,48090958
280,9347802
374,11392244
294,140869575
356,5227723
231,29854913
545,10851674
230,12468939
636,35709650
367,22198632
470,6124568
495,13156372
592,50404409
452,9472726
339,11702390
304,94573584
608,280363208
692,210124465
613,7603114
273,6790029
413,38198444
677,6113083
378,13266083
627,8394291
517,5857587
487,28403140
355,131513897
973,12721433
393,56622739
478,9801594
524,12797518
571,39820701
447,10015609
593,160991307
289,14784792
265,42481107
344,115366557
428,241089141
480,3989846
673,19233985
569,58163773
581,9311516
645,8289618
351,16849611
348,11955867
668,12988635
264,91523369
563,11098969
309,4904613
377,12718887
346,11559301
349,31589816
323,7282751
420,10114368
431,17381092
292,36032618
430,33347619
270,8541536
393,10975672
606,12363498
611,49617710
277,9688221
575,11115095
771,17436107
401,45546016
463,109640835
735,24872265
385,32421762
941,45239626
378,8991027
623,8604333
531,17225656
317,30389229
360,4685718
576,26900018
647,107681320
424,42775509
541,51638559
569,7630942
425,134045522
371,8500332
624,8454814
1252,9015536
1238,10339523
416,16415572
458,11447783
925,14928128
527,6673680
429,4841568
372,35158005
393,6145900
286,6265026
374,5455548
327,71296434
407,5243142
482,19099796
971,17102073
453,22041090
942,85728596
524,16330361
381,16437397
202,6173459
585,28425266
354,9252837
253,9703074
502,18022496
450,5129205
516,19135870
769,26546281
473,57416229
645,37255666
615,8222488
372,11473154
463,26799331
518,13108029
695,7398809
289,28729549
796,41599502
557,9688640
293,13930963
495,35581227
371,23660682
389,12709083
431,10872346
402,42167010
780,78669934
327,10526979
538,131144639
388,74998442
312,20961424
381,18714467
626,23481071
423,11056275
715,12581100
374,129378428
435,9880524
381,6207453
473,6393053
354,6386017
544,9219458
918,5796048
367,6691956
673,103927845
348,214543755
335,110291282
396,67668013
459,13886124
660,10934802
477,4705973
486,63538020
475,23902393
444,29407214
825,9883186
380,132769167
348,7306502
394,99191089
375,14506875
331,5634628
271,11840434
540,8647239
548,20557368
429,6631250
540,9513928
541,15138368
402,5793990
331,19258844
253,19412694
374,36763575
572,12613123
870,5746837
357,8552471
363,95658511
381,14979882
384,11397954
582,9457836
520,14657109
257,9375037
405,22741901
385,9656959
499,51916353
245,16206191
538,8046333
465,11298804
309,10778450
307,112514322
502,4691755
380,83278610
419,13835519
321,83803156
447,6170801
285,6420778
390,6540930
844,137283010
444,11276817
417,8235865
322,89854211
376,12440287
520,14253492
579,84258055
296,13275214
601,74011115
334,12025573
401,18571250
618,12589369
375,6337549
344,77039733
477,205845679
722,10325692
362,10802280
666,7210354
618,56640870
312,7861453
355,42960016
520,9030227
442,23908302
257,7996455
659,6251944
1007,47523499
387,12008187
468,71837632
633,16187554
466,9834263
715,12380559
685,10328209
462,51596083
351,5539540
435,6083805
377,14438013
402,23512523
403,11469608
380,30109113
454,29791066
554,12605961
255,43715014
421,43944408
419,11827447
783,13961897
404,12116435
449,7188847
403,9120936
770,6468332
405,7899588
472,8373130
352,63372050
495,29080091
377,4780270
615,23758604
328,9355543
616,6047516
300,39389623
368,13306106
263,10975832
371,8535047
385,9621241
390,33446965
760,12921458
200,238586368
295,7353700
478,7880629
360,10223608
515,89452251
379,8961234
565,7908220
334,8517163
310,168292223
424,51741474
649,11832657
472,15389131
450,5840546
434,11332915
687,7575517
437,37940639
561,56743783
650,8044513
357,7544040
539,5744467
388,6102400
389,11421470
309,12714244
971,12027918
339,6316601
464,67773991
260,94173982
292,23198110
246,10389454
405,12257302
273,22916187
546,70106860
377,14322595
596,8751179
380,264755388
262,109272193
564,16044630
444,83807095
342,6346950
514,370949859
572,19601758
398,61350497
657,75230848
461,6532372
384,8287265
323,5920751
487,682051231
288,17758817
451,12299771
509,19786960
761,8028171
486,31998448
578,20304181
356,100502829
419,16166969
306,97624186
768,155150868
352,13696175
958,9712722
203,12047286
364,139084044
259,31847140
365,29164832
370,26572559
553,48195044
1140,40918337
361,9096859
646,5176457
498,22356742
457,8094224
394,133556620
872,9817811
347,22239329
461,23954325
396,141910363
462,15888742
281,18994418
419,6806432
577,100848061
898,37405837
286,9854567
456,30948864
337,13716283
310,7841498
203,9587801
411,7335074
349,20668874
388,15034052
358,9605730
499,10145650
435,12935151
335,7022377
331,46731802
632,5819671
442,21495088
342,27387583
338,11071964
518,8887489
491,21462668
379,16188645
337,20160531
467,638216884
408,7424106
566,10652307
948,40740060
431,9288490
713,308911905
354,18727646
426,16694385
191,63073851
579,7356507
968,508666115
622,58966379
745,18214791
375,56288455
645,56838963
543,24106523
504,57939077
422,78983218
412,10601107
514,35480909
349,22435503
491,9083636
384,9568773
356,7078370
974,76071783
921,6435748
385,128468597
424,16588392
591,13018166
430,17641991
571,7304861
281,24232553
322,21902408
628,10352886
535,188026155
323,14824824
812,39408330
337,21355919
193,8319882
526,51344599
366,9014212
553,9102485
403,10647265
332,288496077
432,7090410
391,6099567
437,31993959
310,372087143
341,21480492
316,6660428
646,13104132
404,6768349
226,13972494
433,10376420
394,6222483
281,7949561
343,7583467
365,45603841
585,113250763
552,11262237
257,634551961
351,5604127
535,76120918
421,41970734
460,21758397
403,8711546
388,5070315
350,8175743
611,15370136
306,226667694
375,15679146
312,217395433
556,87369201
256,5861207
795,20455640
366,139917175
418,20208885
474,973016112
472,11368570
444,7650879
422,61459243
829,18591011
454,9902102
407,6443627
367,6108524
372,13984905
600,10919532
405,106203291
420,12960067
361,17273784
484,21998297
467,9364307
391,47162948
637,6009855
362,8177446
708,14586964
303,15768917
349,6900356
377,8698383
477,310047943
401,6842448
513,57511583
528,6092991
816,17078497
277,7887686
396,14033889
573,24779926
488,5212975
245,13427356
436,12567369
429,6709384
413,6659029
785,8615496
478,12764694
484,9371429
470,6615370
390,6756830
568,38461966
692,8748031
430,21850066
447,28611302
358,8143985
459,4317636
501,9849375
259,19289892
420,10834453
485,5871509
550,6299003
601,5110077
359,27160030
356,6595203
421,66409800
389,161575341
327,9246643
595,69927588
892,12143033
404,266752847
496,8932033
449,11546323
464,8802326
343,8472592
504,7929589
426,20341297
285,8735279
541,24481810
846,14934058
423,369272892
674,5270294
672,13588376
761,6032601
648,9387440
372,25156355
264,61673232
391,7922718
302,5333748
980,27703956
369,4252201
322,5518975
592,17368013
362,133295845
385,474557687
676,33548861
670,11450647
540,40309335
354,81800733
483,10371159
411,91855473
307,8882478
497,12750162
345,8479833
322,12938683
430,20364392
399,61288025
419,7565429
252,8059229
634,4666577
845,105446905
309,173691965
427,6426665
435,5659508
366,6101507
247,29153325
613,83057976
1416,20115616
302,6581201
400,5524678
568,14819254
532,11371722
480,87257461
462,17539772
523,5190264
608,6480189
582,5440714
504,11323174
325,42260289
312,45914680
684,6072580
367,6236829
515,12098830
258,9726147
302,7818741
519,5696660
825,7977137
422,9780003
317,17881556
492,16117819
417,13142681
328,282479561
273,10562702
1001,10032591
363,27167827
912,17073758
243,138325921
768,9490510
311,48729786
461,6940640
471,9991130
304,14437692
721,47964345
602,19959559
413,8375766
533,9445131
536,31545562
450,81330438
352,26410404
608,9929429
259,84929830
335,9544999
430,15028279
370,4482927
747,19474362
363,9837940
454,6966240
414,6466799
444,26308016
412,55983683
405,79849942
522,291371679
542,8676001
768,8347208
417,17217457
389,4527522
703,134388701
511,7433264
599,4624097
315,11673672
304,18548356
488,11714539
386,37136588
571,50485272
385,8548905
418,5542297
437,10647281
650,59758125
305,53217981
574,38607745
609,26959137
442,5318636
330,8723923
446,3978155
386,722126506
264,5616372
521,58492855
413,12928006
557,22731613
638,6865406
381,7969048
643,89820910
336,11323322
608,8365743
537,19105017
825,14907967
512,12805644
666,30890579
327,7719895
415,85838000
324,17607411
952,16718035
411,21514432
593,281933906
335,7797299
464,98805544
426,25887471
408,7721794
490,11400578
443,4770710
508,8961270
493,5091516
294,11321521
403,8075921
626,6303595
426,24632471
563,30976868
657,18119595
470,17792321
497,6845303
415,33300788
446,9109138
541,15512208
370,116033050
341,13861763
390,24736013
436,143329583
439,76090430
324,8840134
490,9135534
329,14782679
452,5259162
839,4753325
607,7472274
604,20359819
276,76429072
892,203790522
929,5533288
497,7229777
450,9604769
800,39838667
493,225800268
541,16585245
355,13447462
434,8427541
439,28034273
473,77406981
576,18820221
643,24688760
411,21007851
418,35051482
576,20068968
385,51210048
307,34595668
244,9110241
335,21064731
320,5973195
464,4692511
650,10919209
588,173249667
474,5230444
635,11393012
373,6737506
713,15341623
369,5764800
430,10159466
754,10305322
696,5679513
990,22443888
509,9459089
585,22769709
449,122377478
468,24663772
435,28442233
297,4796549
1497,98787168
754,7059974
437,22206725
304,55329504
500,463042861
461,10533078
457,366679088
452,24412825
385,16103256
482,8367230
334,15757254
242,38743051
383,10874653
372,14194254
365,15371165
550,12382912
444,8181325
206,7400859
409,7423138
288,9684787
471,7282898
470,116100247
489,126339603
463,10295009
335,8681258
349,21410574
255,5338710
607,10083113
944,23661888
488,125433983
350,36885330
510,66079773
441,5198649
391,9977907
591,9519157
492,6449249
671,147983297
444,10013504
467,50345586
418,220295682
434,11135263
749,8721621
344,8263234
350,8001043
459,260524575
316,10894496
326,9316341
272,16016495
452,20921799
421,49034380
282,12184890
375,4915719
1331,19411858
395,7653280
337,18421581
306,15398638
335,73577665
496,13524321
298,31569389
536,6931819
1061,21271833
519,13373625
699,7447532
534,11056439
356,9760345
416,58957355
370,7307445
499,33227189
676,10153040
370,32766710
668,7110163
449,45237957
781,113932698
453,15283823
429,18777451
578,28379255
672,5464902
480,10836776
494,7852039
436,6406074
235,7983822
341,11840337
440,6007604
502,52423635
341,36613982
548,8159206
384,16021385
1047,77009570
431,213739852
675,10826673
495,12733350
451,11093643
320,983373692
491,16095545
405,9549926
355,41261806
760,9539864
442,130545973
370,17041955
453,37845412
363,13772162
451,191531370
365,3820231
410,209935968
467,8830953
452,4676672
436,7998320
439,44218188
581,19563492
401,7881217
615,4235288
358,5842654
900,15769537
415,96335481
241,6444473
284,16530369
338,9025434
206,205032415
449,58515703
445,142279409
481,86251789
493,12877285
536,15025101
336,12338350
536,6379830
344,7269274
678,64666133
400,58066100
369,15031046
553,5349224
469,148439680
472,7563080
458,16611095
258,8511648
809,26910544
410,7151740
408,7439492
332,14532888
607,28479939
274,12380522
451,10049422
411,127445089
399,96749167
257,11343499
460,45926157
490,32305692
543,26003280
987,4383299
256,8246755
427,8224351
368,43067279
303,13519394
726,15137439
348,11503110
400,7248126
368,31094590
819,5086638
385,55082590
600,7280562
496,6232864
255,56369535
461,21104273
460,15027924
501,17903064
669,4277435
507,14312945
436,12369832
412,36801722
641,10080544
351,7066883
535,16425437
618,10446540
435,86788824
335,6567503
287,5295467
863,80340891
505,9600846
823,92127924
413,12029524
432,71240612
252,9905140
389,14454858
582,10834609
483,19082917
431,10423697
400,126814840
536,20554942
392,6906822
430,18727333
395,10124378
614,6362136
339,12796865
624,14886600
569,11156141
989,11985868
221,12521030
284,5082815
531,9772657
926,16321344
306,29038614
583,14197728
944,8908296
322,41941364
597,6835691
607,14681902
372,11560151
383,49792314
568,5650513
665,7293054
420,21729531
579,15140367
457,3819357
751,46705935
639,5311140
404,5964466
438,7682459
262,35658501
567,12052864
382,19801299
452,5929722
498,13073906
385,20732113
607,10239490
677,6724010
331,8425579
813,80215618
372,5230982
426,632153372
400,18253715
599,49876813
725,51023737
410,9016128
548,23522335
427,4824515
323,25841463
524,316767580
520,385906313
363,10333648
397,9179768
995,19635775
346,273442833
369,6579326
492,15087423
309,17912769
291,8436228
487,16471960
602,30430915
699,67034119
624,11498428
438,8668108
451,34518702
491,5158330
624,7204500
440,16873569
805,6953358
439,7350374
497,10976712
459,5357320
335,97332589
466,10453837
477,8118984
319,34095438
621,17048567
372,3958344
354,59096928
839,29275212
425,20350728
986,5527110
452,4657695
832,6358839
272,10265997
367,16388071
472,50162270
578,6061132
400,7487589
381,43108002
629,9205506
686,8323734
266,65305229
453,26869042
291,10669708
357,37456577
308,14612245
211,5257874
447,10429391
492,13644273
537,356642220
493,8463185
455,16902293
704,15321748
425,24173184
348,9771107
448,37103133
834,7229510
685,5741279
393,88674234
418,11368216
654,19053620
257,14549668
269,4996219
435,11258917
454,13097204
417,4765257
472,141014331
545,6470659
314,5647549
365,62050048
307,5386782
385,7512304
402,27329364
481,329579591
390,9471009
623,13263080
449,5598338
241,11149248
795,30643759
368,69973524
